schedule ,time,Check,C_temp_target,F_temp_target,C_temp_read,tag_64,tag_62,tag_23,tag_55,tag_30,tag_25,tag_100,tag_99,tag_82,tag_24
0730,0,Erin,2.5,36.5,2.83,1,1,1,1,1,1,1,1,1,1
0800,30,Both,3.5,38.3,3.17,1,1,1,1,1,1,1,1,1,1
0830,60,Both,4.5,40.1,5.00,1,1,1,1,1,1,1,1,1,1
0900,90,Erin,5.5,41.9,5.37,1,1,1,1,1,1,1,1,1,1
0930,120,Shannon,6.5,43.7,7.13,1,1,1,1,1,1,1,1,1,1
1000,150,Erin,7.5,45.5,,,,,,,,,,,
1030,180,Shannon,8.5,47.3,,,,,,,,,,,
1100,210,Erin,9.5,49.1,,,,,,,,,,,
1130,240,Shannon,10.5,50.9,,,,,,,,,,,
1200,270,Erin,11.5,52.7,,,,,,,,,,,
1230,300,Shannon,12.5,54.5,,,,,,,,,,,
1300,330,Erin,13.5,56.3,,,,,,,,,,,
1330,360,Shannon,14.5,58.1,,,,,,,,,,,
1400,390,Erin,15.5,59.9,,,,,,,,,,,
1430,420,Shannon,16.5,61.7,,,,,,,,,,,
1500,450,Erin,17.5,63.5,,,,,,,,,,,
1530,480,Shannon,18.5,65.3,,,,,,,,,,,
1600,510,Erin,19.5,67.1,,,,,,,,,,,
1630,540,Erin,20.5,68.9,,,,,,,,,,,
1700,570,Erin,21.5,70.7,,,,,,,,,,,
